가해자연령층,시간대,사고건수,사망자수,중상자수,경상자수,부상신고자수
20세이하,00시-02시,485,8,194,465,97
20세이하,02시-04시,370,16,166,359,62
20세이하,04시-06시,267,12,121,233,48
20세이하,06시-08시,234,5,74,220,51
20세이하,08시-10시,383,4,100,369,97
20세이하,10시-12시,320,2,93,316,53
20세이하,12시-14시,490,3,136,467,112
20세이하,14시-16시,644,7,217,593,129
20세이하,16시-18시,976,5,237,908,219
20세이하,18시-20시,1182,10,300,1087,218
20세이하,20시-22시,1034,7,316,946,208
20세이하,22시-24시,846,16,273,841,163
21-30세,00시-02시,2187,50,758,2419,248
21-30세,02시-04시,1410,49,507,1500,153
21-30세,04시-06시,1166,37,475,1198,131
21-30세,06시-08시,1730,29,611,1894,131
21-30세,08시-10시,2643,20,746,3012,297
21-30세,10시-12시,2078,28,645,2423,265
21-30세,12시-14시,2648,17,772,3164,332
21-30세,14시-16시,2727,14,817,3186,356
21-30세,16시-18시,3225,20,983,3706,402
21-30세,18시-20시,4460,39,1340,4900,467
21-30세,20시-22시,3401,32,1052,3736,402
21-30세,22시-24시,2956,41,880,3381,329
31-40세,00시-02시,1805,44,600,2010,139
31-40세,02시-04시,1007,34,344,1054,98
31-40세,04시-06시,936,36,345,926,96
31-40세,06시-08시,1868,34,675,1912,143
31-40세,08시-10시,3650,29,1071,4011,370
31-40세,10시-12시,2981,27,896,3365,295
31-40세,12시-14시,3433,20,1050,3913,398
31-40세,14시-16시,3791,35,1188,4219,388
31-40세,16시-18시,4203,23,1181,4895,475
31-40세,18시-20시,5024,55,1546,5313,477
31-40세,20시-22시,3470,56,1091,3702,355
31-40세,22시-24시,2810,36,897,3115,294
41-50세,00시-02시,1628,39,513,1961,174
41-50세,02시-04시,863,26,307,966,93
41-50세,04시-06시,966,40,378,922,90
41-50세,06시-08시,2520,55,869,2485,202
41-50세,08시-10시,4734,41,1475,4951,385
41-50세,10시-12시,4155,52,1395,4506,371
41-50세,12시-14시,4599,40,1480,5100,512
41-50세,14시-16시,4890,53,1538,5474,498
41-50세,16시-18시,5679,51,1695,6373,614
41-50세,18시-20시,6344,69,1899,6728,585
41-50세,20시-22시,4281,68,1348,4406,414
41-50세,22시-24시,3110,50,984,3472,258
51-60세,00시-02시,1978,50,635,2218,183
51-60세,02시-04시,1055,21,372,1128,118
51-60세,04시-06시,1381,61,581,1304,123
51-60세,06시-08시,3410,78,1228,3427,299
51-60세,08시-10시,5897,59,1853,6270,530
51-60세,10시-12시,5653,79,1931,6070,527
51-60세,12시-14시,5864,61,1790,6708,574
51-60세,14시-16시,6499,67,2025,7175,637
51-60세,16시-18시,7414,68,2248,8024,707
51-60세,18시-20시,7885,105,2240,8413,702
51-60세,20시-22시,5274,92,1607,5741,465
51-60세,22시-24시,3504,49,1036,3857,330
61-64세,00시-02시,692,19,225,793,63
61-64세,02시-04시,407,9,138,419,38
61-64세,04시-06시,581,30,254,539,46
61-64세,06시-08시,1238,38,434,1250,90
61-64세,08시-10시,2093,20,625,2125,179
61-64세,10시-12시,2154,24,697,2329,175
61-64세,12시-14시,2261,25,828,2449,208
61-64세,14시-16시,2391,29,783,2677,201
61-64세,16시-18시,2695,33,834,2954,226
61-64세,18시-20시,2633,38,823,2817,211
61-64세,20시-22시,1735,27,532,1904,162
61-64세,22시-24시,967,13,280,1109,96
65세이상,00시-02시,717,13,226,756,63
65세이상,02시-04시,450,17,165,482,32
65세이상,04시-06시,911,46,400,829,72
65세이상,06시-08시,1958,64,753,1832,149
65세이상,08시-10시,4227,96,1409,4198,412
65세이상,10시-12시,4657,106,1628,4615,436
65세이상,12시-14시,4448,89,1501,4561,456
65세이상,14시-16시,4610,108,1520,4777,514
65세이상,16시-18시,4516,92,1435,4676,449
65세이상,18시-20시,3700,82,1197,3743,385
65세이상,20시-22시,1933,35,574,2146,151
65세이상,22시-24시,1112,21,356,1196,129
불명,00시-02시,216,0,24,157,51
불명,02시-04시,141,0,12,121,34
불명,04시-06시,151,0,24,107,43
불명,06시-08시,220,0,38,145,50
불명,08시-10시,344,0,52,226,88
불명,10시-12시,273,0,39,186,76
불명,12시-14시,301,0,43,211,77
불명,14시-16시,358,0,50,241,97
불명,16시-18시,451,0,56,317,125
불명,18시-20시,695,1,97,502,179
불명,20시-22시,539,0,84,403,126
불명,22시-24시,402,0,46,295,104
