도로종류,가해자차종,사고건수,사망자수,중상자수,경상자수,부상신고자수
일반국도,승용차,12617,282,4687,15596,1247
일반국도,승합차,1258,22,544,1642,182
일반국도,화물차,3622,143,1494,4339,292
일반국도,특수차,201,4,96,257,20
일반국도,이륜차,1285,61,481,954,208
일반국도,사륜오토바이(ATV),37,5,12,24,2
일반국도,원동기장치자전거,107,4,40,81,14
일반국도,자전거,264,5,79,146,53
일반국도,개인형이동수단(PM),18,0,7,10,3
일반국도,건설기계,450,11,187,545,34
일반국도,농기계,50,3,26,39,5
일반국도,기타,18,0,2,15,2
일반국도,불명,239,1,38,189,50
지방도,승용차,10656,208,3819,12445,1135
지방도,승합차,937,22,376,1157,114
지방도,화물차,2919,138,1248,3118,235
지방도,특수차,91,6,35,109,7
지방도,이륜차,1229,62,398,879,242
지방도,사륜오토바이(ATV),62,5,24,43,3
지방도,원동기장치자전거,132,3,45,89,28
지방도,자전거,261,4,76,142,54
지방도,개인형이동수단(PM),17,1,5,9,4
지방도,건설기계,229,9,79,240,11
지방도,농기계,64,4,26,44,6
지방도,기타,13,0,3,8,3
지방도,불명,185,0,24,137,55
특별광역시도,승용차,61680,355,16722,69651,5188
특별광역시도,승합차,5851,65,1882,5912,570
특별광역시도,화물차,8710,121,2665,8738,659
특별광역시도,특수차,335,2,105,345,15
특별광역시도,이륜차,8516,113,2536,6589,1898
특별광역시도,사륜오토바이(ATV),48,2,15,30,10
특별광역시도,원동기장치자전거,1006,7,284,765,223
특별광역시도,자전거,2604,23,636,1500,679
특별광역시도,개인형이동수단(PM),235,2,73,129,49
특별광역시도,건설기계,763,27,224,815,42
특별광역시도,농기계,9,1,5,3,2
특별광역시도,기타,88,1,22,52,18
특별광역시도,불명,1950,0,224,1389,511
시도,승용차,50735,478,15643,57608,3919
시도,승합차,4801,72,1680,5275,558
시도,화물차,9034,187,3110,9669,654
시도,특수차,365,12,141,354,29
시도,이륜차,5715,128,1931,4331,1068
시도,사륜오토바이(ATV),73,7,31,39,10
시도,원동기장치자전거,642,17,213,456,109
시도,자전거,1542,29,443,822,341
시도,개인형이동수단(PM),125,4,35,71,22
시도,건설기계,785,24,234,863,50
시도,농기계,106,13,36,75,8
시도,기타,51,0,17,36,7
시도,불명,979,0,154,659,250
군도,승용차,4506,98,1963,4579,337
군도,승합차,313,12,185,337,31
군도,화물차,1697,73,800,1529,83
군도,특수차,31,1,15,21,1
군도,이륜차,707,31,272,465,92
군도,사륜오토바이(ATV),57,8,20,31,3
군도,원동기장치자전거,102,5,45,56,19
군도,자전거,172,6,59,94,24
군도,개인형이동수단(PM),4,1,1,2,0
군도,건설기계,107,6,60,104,4
군도,농기계,123,17,39,77,18
군도,기타,13,0,5,9,3
군도,불명,49,0,14,23,14
고속국도,승용차,2606,86,987,4289,619
고속국도,승합차,258,7,216,714,132
고속국도,화물차,1007,96,445,1362,176
고속국도,특수차,143,12,54,181,14
고속국도,이륜차,1,0,0,0,2
고속국도,건설기계,68,4,32,74,21
고속국도,기타,1,1,0,0,0
고속국도,불명,139,0,34,136,33
기타,승용차,8565,64,2448,8842,684
기타,승합차,803,9,284,832,52
기타,화물차,1799,44,639,1600,105
기타,특수차,57,1,20,60,5
기타,이륜차,1014,27,299,756,183
기타,사륜오토바이(ATV),41,9,14,18,2
기타,원동기장치자전거,124,4,35,65,32
기타,자전거,790,12,239,449,184
기타,개인형이동수단(PM),48,0,19,26,8
기타,건설기계,140,3,50,126,8
기타,농기계,92,19,45,49,8
기타,기타,19,0,10,12,2
기타,불명,295,0,46,173,85
