도로종류,기상상태,사고건수,사망자수,중상자수,경상자수,부상신고자수
일반국도,맑음,17908,471,6750,21266,1857
일반국도,흐림,652,32,278,733,82
일반국도,비,1344,30,530,1559,150
일반국도,안개,59,3,38,48,5
일반국도,눈,70,0,37,103,12
일반국도,기타/불명,133,5,60,128,6
지방도,맑음,14957,394,5455,16476,1699
지방도,흐림,568,34,213,626,62
지방도,비,1083,27,419,1137,110
지방도,안개,42,2,20,45,4
지방도,눈,40,0,12,56,3
지방도,기타/불명,105,5,39,80,19
특별광역시도,맑음,82866,613,22878,86582,8942
특별광역시도,흐림,2622,40,760,2698,264
특별광역시도,비,5681,64,1585,6022,588
특별광역시도,안개,15,0,2,21,0
특별광역시도,눈,97,0,25,101,13
특별광역시도,기타/불명,514,2,143,494,57
시도,맑음,67552,840,21182,72328,6353
시도,흐림,2076,47,666,2134,172
시도,비,4824,74,1654,5255,460
시도,안개,67,3,32,86,6
시도,눈,152,4,50,159,16
시도,기타/불명,282,3,84,296,18
군도,맑음,7096,221,3106,6572,569
군도,흐림,288,16,143,254,24
군도,비,443,18,190,427,33
군도,안개,22,1,12,41,2
군도,눈,17,1,19,18,0
군도,기타/불명,15,1,8,15,1
고속국도,맑음,3757,171,1549,6089,867
고속국도,흐림,126,13,51,195,44
고속국도,비,314,19,157,425,78
고속국도,안개,8,0,2,10,5
고속국도,눈,15,3,8,30,3
고속국도,기타/불명,3,0,1,7,0
기타,맑음,12355,169,3736,11625,1227
기타,흐림,426,9,121,395,34
기타,비,688,12,197,671,76
기타,안개,18,0,8,24,0
기타,눈,26,0,6,37,0
기타,기타/불명,274,2,80,256,21
