도로종류,요일,사고건수,사망자수,중상자수,경상자수,부상신고자수
일반국도,일,2297,55,980,2909,297
일반국도,월,2981,98,1050,3441,275
일반국도,화,2979,59,1118,3349,311
일반국도,수,2890,65,1090,3190,279
일반국도,목,2903,110,1046,3300,297
일반국도,금,3073,78,1169,3634,309
일반국도,토,3043,76,1240,4014,344
지방도,일,1952,46,763,2353,247
지방도,월,2495,74,883,2676,261
지방도,화,2480,71,923,2599,241
지방도,수,2461,70,836,2694,268
지방도,목,2478,76,916,2579,287
지방도,금,2567,80,914,2751,277
지방도,토,2362,45,923,2768,316
특별광역시도,일,10045,80,2912,11766,1210
특별광역시도,월,13234,119,3636,13223,1343
특별광역시도,화,13649,108,3799,13722,1473
특별광역시도,수,13526,116,3673,13833,1418
특별광역시도,목,13270,98,3653,13369,1327
특별광역시도,금,14667,111,3981,14814,1567
특별광역시도,토,13404,87,3739,15191,1526
시도,일,8347,109,2715,9776,928
시도,월,10975,149,3457,11463,936
시도,화,11183,150,3465,11470,1029
시도,수,11056,146,3580,11507,967
시도,목,10946,135,3485,11307,961
시도,금,11878,148,3657,12599,1147
시도,토,10568,134,3309,12136,1057
군도,일,831,29,393,890,67
군도,월,1184,43,494,1034,99
군도,화,1175,35,522,1051,83
군도,수,1163,36,477,1068,75
군도,목,1099,37,472,1034,79
군도,금,1319,37,606,1136,116
군도,토,1110,41,514,1114,110
고속국도,일,580,15,252,1157,164
고속국도,월,534,28,208,715,165
고속국도,화,595,33,252,824,105
고속국도,수,548,29,214,707,117
고속국도,목,537,26,231,754,85
고속국도,금,701,40,276,1108,183
고속국도,토,728,35,335,1491,178
기타,일,1606,27,497,1620,168
기타,월,1937,29,541,1757,193
기타,화,2072,23,598,1929,232
기타,수,1971,31,626,1779,177
기타,목,2008,21,606,1825,189
기타,금,2217,34,699,2007,198
기타,토,1976,27,581,2091,201
