도로종류,월,사고건수,사망자수,중상자수,경상자수,부상신고자수
일반국도,01월,1355,42,523,1553,139
일반국도,02월,1280,38,514,1585,154
일반국도,03월,1606,36,612,1885,152
일반국도,04월,1636,51,658,1848,158
일반국도,05월,1889,54,696,2290,193
일반국도,06월,1656,49,676,1928,181
일반국도,07월,1640,34,630,1916,185
일반국도,08월,1705,44,634,2152,148
일반국도,09월,1675,36,608,1959,213
일반국도,10월,2017,59,813,2363,210
일반국도,11월,1956,52,668,2280,194
일반국도,12월,1751,46,661,2078,185
지방도,01월,1223,39,465,1291,123
지방도,02월,1111,31,411,1249,129
지방도,03월,1373,37,496,1522,151
지방도,04월,1433,43,549,1571,139
지방도,05월,1492,32,558,1609,161
지방도,06월,1416,39,546,1514,148
지방도,07월,1384,27,529,1462,186
지방도,08월,1497,40,512,1744,180
지방도,09월,1304,38,469,1440,162
지방도,10월,1578,48,595,1765,182
지방도,11월,1561,46,550,1704,184
지방도,12월,1423,42,478,1549,152
특별광역시도,01월,6811,70,2050,6925,655
특별광역시도,02월,6053,43,1721,6450,583
특별광역시도,03월,7353,56,2101,7634,720
특별광역시도,04월,7767,56,2253,7999,816
특별광역시도,05월,8227,69,2244,8664,938
특별광역시도,06월,7531,62,2086,7825,919
특별광역시도,07월,7716,62,1990,8125,815
특별광역시도,08월,7882,54,2098,8369,906
특별광역시도,09월,7680,65,2044,8066,827
특별광역시도,10월,8486,64,2391,8779,938
특별광역시도,11월,8475,60,2344,8841,869
특별광역시도,12월,7814,58,2071,8241,878
시도,01월,5520,94,1813,5773,454
시도,02월,4827,64,1567,5441,416
시도,03월,5963,72,1920,6413,521
시도,04월,6229,81,2032,6704,582
시도,05월,6876,86,2210,7473,612
시도,06월,6154,76,1946,6600,635
시도,07월,6203,68,1904,6550,615
시도,08월,6463,59,2078,7046,683
시도,09월,6322,104,1962,6710,622
시도,10월,6868,89,2153,7162,632
시도,11월,7057,75,2143,7474,648
시도,12월,6471,103,1940,6912,605
군도,01월,507,24,229,432,41
군도,02월,467,13,219,459,37
군도,03월,610,21,255,586,32
군도,04월,644,17,293,604,60
군도,05월,733,29,328,637,64
군도,06월,690,21,323,648,59
군도,07월,701,17,311,631,64
군도,08월,737,21,320,703,54
군도,09월,676,15,290,714,42
군도,10월,814,28,346,680,72
군도,11월,715,26,309,681,56
군도,12월,587,26,255,552,48
고속국도,01월,277,12,129,476,56
고속국도,02월,257,4,113,471,47
고속국도,03월,331,18,156,494,47
고속국도,04월,334,22,138,573,59
고속국도,05월,375,16,179,576,65
고속국도,06월,316,17,136,479,55
고속국도,07월,375,22,151,565,82
고속국도,08월,394,14,157,681,120
고속국도,09월,365,16,153,587,105
고속국도,10월,403,28,156,633,123
고속국도,11월,424,15,147,693,91
고속국도,12월,372,22,153,528,147
기타,01월,859,15,278,799,65
기타,02월,757,10,227,755,64
기타,03월,897,12,266,856,89
기타,04월,1061,16,301,1006,95
기타,05월,1187,19,358,1083,139
기타,06월,1205,15,344,1145,122
기타,07월,1215,11,370,1143,129
기타,08월,1314,21,383,1258,132
기타,09월,1309,13,391,1235,147
기타,10월,1524,21,499,1408,150
기타,11월,1329,23,406,1214,127
기타,12월,1130,16,325,1106,99
