도로형태_대분류,도로형태,월,사고건수,사망자수,중상자수,경상자수,부상신고자수
단일로,터널안,01월,58,1,31,100,8
단일로,터널안,02월,64,2,14,128,19
단일로,터널안,03월,57,4,22,82,21
단일로,터널안,04월,71,1,38,133,14
단일로,터널안,05월,84,2,33,138,13
단일로,터널안,06월,62,2,28,127,18
단일로,터널안,07월,61,1,25,94,8
단일로,터널안,08월,70,1,34,106,20
단일로,터널안,09월,69,1,24,101,11
단일로,터널안,10월,60,2,18,97,12
단일로,터널안,11월,62,0,32,113,10
단일로,터널안,12월,55,4,15,87,6
단일로,교량위,01월,146,4,52,202,19
단일로,교량위,02월,124,3,51,187,23
단일로,교량위,03월,117,5,34,146,12
단일로,교량위,04월,112,3,38,144,6
단일로,교량위,05월,128,3,30,187,17
단일로,교량위,06월,99,3,42,128,17
단일로,교량위,07월,110,7,35,140,7
단일로,교량위,08월,137,1,60,188,11
단일로,교량위,09월,92,1,26,106,8
단일로,교량위,10월,126,3,46,186,17
단일로,교량위,11월,122,9,38,164,15
단일로,교량위,12월,133,7,66,186,17
단일로,고가도로위,01월,35,2,8,67,3
단일로,고가도로위,02월,51,0,22,56,6
단일로,고가도로위,03월,49,2,8,55,5
단일로,고가도로위,04월,46,1,15,50,6
단일로,고가도로위,05월,57,3,16,61,8
단일로,고가도로위,06월,46,0,16,56,4
단일로,고가도로위,07월,68,0,20,98,8
단일로,고가도로위,08월,49,0,13,71,8
단일로,고가도로위,09월,52,1,16,66,2
단일로,고가도로위,10월,69,0,16,79,8
단일로,고가도로위,11월,62,2,13,87,5
단일로,고가도로위,12월,62,4,21,87,5
단일로,지하차도(도로)내,01월,113,6,48,118,12
단일로,지하차도(도로)내,02월,169,5,64,255,18
단일로,지하차도(도로)내,03월,219,3,75,243,15
단일로,지하차도(도로)내,04월,221,4,79,209,21
단일로,지하차도(도로)내,05월,256,10,79,266,27
단일로,지하차도(도로)내,06월,257,7,75,271,18
단일로,지하차도(도로)내,07월,210,10,68,226,20
단일로,지하차도(도로)내,08월,255,4,92,313,23
단일로,지하차도(도로)내,09월,229,6,77,247,19
단일로,지하차도(도로)내,10월,258,9,108,259,21
단일로,지하차도(도로)내,11월,242,5,72,271,26
단일로,지하차도(도로)내,12월,185,3,73,193,15
단일로,기타단일로,01월,7126,166,2304,7286,696
단일로,기타단일로,02월,6267,115,1933,6717,639
단일로,기타단일로,03월,7905,140,2462,8245,754
단일로,기타단일로,04월,8136,157,2594,8387,873
단일로,기타단일로,05월,9059,171,2815,9456,1016
단일로,기타단일로,06월,8305,146,2584,8681,985
단일로,기타단일로,07월,8238,124,2481,8402,962
단일로,기타단일로,08월,8522,136,2585,9133,1000
단일로,기타단일로,09월,8338,173,2522,8626,999
단일로,기타단일로,10월,9466,181,2990,9701,1067
단일로,기타단일로,11월,9462,164,2812,9868,1029
단일로,기타단일로,12월,8566,185,2470,9046,1055
교차로,교차로내,01월,5261,63,1801,5876,471
교차로,교차로내,02월,4683,42,1610,5538,438
교차로,교차로내,03월,5698,51,1955,6386,547
교차로,교차로내,04월,6129,73,2123,6902,605
교차로,교차로내,05월,6576,60,2247,7473,634
교차로,교차로내,06월,6003,67,2080,6636,644
교차로,교차로내,07월,6271,56,2059,7070,651
교차로,교차로내,08월,6385,55,2104,7366,697
교차로,교차로내,09월,6010,56,1945,6939,607
교차로,교차로내,10월,6623,73,2255,7228,658
교차로,교차로내,11월,6576,52,2142,7250,611
교차로,교차로내,12월,6046,69,1958,6713,596
교차로,교차로횡단보도내,01월,689,18,331,383,23
교차로,교차로횡단보도내,02월,491,6,213,314,23
교차로,교차로횡단보도내,03월,628,14,270,383,41
교차로,교차로횡단보도내,04월,705,17,312,418,31
교차로,교차로횡단보도내,05월,702,18,304,408,47
교차로,교차로횡단보도내,06월,599,16,247,374,29
교차로,교차로횡단보도내,07월,689,6,284,423,44
교차로,교차로횡단보도내,08월,646,12,259,389,52
교차로,교차로횡단보도내,09월,716,13,319,416,56
교차로,교차로횡단보도내,10월,833,18,357,512,46
교차로,교차로횡단보도내,11월,804,11,347,477,45
교차로,교차로횡단보도내,12월,700,12,328,404,23
교차로,교차로부근,01월,2422,26,705,2585,234
교차로,교차로부근,02월,2286,23,707,2635,205
교차로,교차로부근,03월,2695,26,769,3120,261
교차로,교차로부근,04월,2876,25,781,3324,276
교차로,교차로부근,05월,2975,28,784,3495,314
교차로,교차로부근,06월,2693,27,742,3082,290
교차로,교차로부근,07월,2743,29,689,3162,280
교차로,교차로부근,08월,2955,26,804,3403,280
교차로,교차로부근,09월,2934,25,760,3383,307
교차로,교차로부근,10월,3218,35,893,3706,352
교차로,교차로부근,11월,3199,36,828,3731,329
교차로,교차로부근,12월,2966,21,711,3438,310
철길건널목,철길건널목,02월,1,0,0,1,0
철길건널목,철길건널목,03월,1,0,1,0,0
철길건널목,철길건널목,06월,1,0,1,0,0
철길건널목,철길건널목,07월,1,0,2,0,0
철길건널목,철길건널목,08월,1,0,1,0,0
철길건널목,철길건널목,09월,1,2,0,0,0
철길건널목,철길건널목,10월,2,0,3,4,0
기타,기타,01월,698,10,207,628,67
기타,기타,02월,610,7,154,577,59
기타,기타,03월,759,7,209,725,56
기타,기타,04월,806,5,243,737,77
기타,기타,05월,940,9,264,848,96
기타,기타,06월,900,11,241,782,114
기타,기타,07월,839,8,221,774,96
기타,기타,08월,968,18,230,978,131
기타,기타,09월,884,9,228,817,108
기타,기타,10월,1029,16,264,1012,125
기타,기타,11월,977,18,280,920,97
기타,기타,12월,825,8,233,806,87
불명,불명,01월,4,0,0,4,0
불명,불명,02월,6,0,4,2,0
불명,불명,03월,5,0,1,5,0
불명,불명,04월,2,0,1,1,0
불명,불명,05월,2,1,1,0,0
불명,불명,06월,3,0,1,2,0
불명,불명,07월,4,0,1,3,0
불명,불명,08월,4,0,0,6,1
불명,불명,09월,6,0,0,10,1
불명,불명,10월,6,0,3,6,1
불명,불명,11월,11,0,3,6,2
불명,불명,12월,10,0,8,6,0
