사고유형대분류,사고유형중분류,사고유형,가해자법규위반,사고건수,사망자수,중상자수,경상자수,부상신고자수
차대사람,횡단중,횡단중,과속,188,80,110,22,0
차대사람,횡단중,횡단중,중앙선 침범,197,7,93,113,8
차대사람,횡단중,횡단중,신호위반,2769,45,1397,1511,89
차대사람,횡단중,횡단중,안전거리 미확보,6,0,3,2,1
차대사람,횡단중,횡단중,안전운전 의무 불이행,8486,420,4296,3666,518
차대사람,횡단중,횡단중,교차로 통행방법 위반,72,1,30,42,3
차대사람,횡단중,횡단중,보행자 보호의무 위반,6202,97,2951,3349,184
차대사람,횡단중,횡단중,기타,181,2,63,107,19
차대사람,차도통행중,차도통행중,과속,35,22,13,0,0
차대사람,차도통행중,차도통행중,중앙선 침범,69,3,37,36,2
차대사람,차도통행중,차도통행중,신호위반,95,3,43,53,3
차대사람,차도통행중,차도통행중,안전거리 미확보,5,0,2,3,0
차대사람,차도통행중,차도통행중,안전운전 의무 불이행,4322,145,1742,2313,278
차대사람,차도통행중,차도통행중,교차로 통행방법 위반,41,0,28,14,1
차대사람,차도통행중,차도통행중,보행자 보호의무 위반,101,3,52,48,0
차대사람,차도통행중,차도통행중,기타,97,4,27,60,9
차대사람,길가장자리구역통행중,길가장자리구역통행중,과속,5,2,2,1,1
차대사람,길가장자리구역통행중,길가장자리구역통행중,중앙선 침범,22,0,7,16,2
차대사람,길가장자리구역통행중,길가장자리구역통행중,신호위반,25,0,7,17,1
차대사람,길가장자리구역통행중,길가장자리구역통행중,안전거리 미확보,1,0,0,1,0
차대사람,길가장자리구역통행중,길가장자리구역통행중,안전운전 의무 불이행,2569,39,770,1648,217
차대사람,길가장자리구역통행중,길가장자리구역통행중,교차로 통행방법 위반,8,0,1,7,0
차대사람,길가장자리구역통행중,길가장자리구역통행중,보행자 보호의무 위반,31,0,12,20,2
차대사람,길가장자리구역통행중,길가장자리구역통행중,기타,44,0,17,24,3
차대사람,보도통행중,보도통행중,과속,3,2,2,2,0
차대사람,보도통행중,보도통행중,중앙선 침범,26,3,11,15,0
차대사람,보도통행중,보도통행중,신호위반,215,6,108,136,8
차대사람,보도통행중,보도통행중,안전거리 미확보,3,0,1,0,2
차대사람,보도통행중,보도통행중,안전운전 의무 불이행,728,15,245,423,84
차대사람,보도통행중,보도통행중,교차로 통행방법 위반,7,0,2,5,0
차대사람,보도통행중,보도통행중,보행자 보호의무 위반,579,6,277,325,13
차대사람,보도통행중,보도통행중,기타,774,5,253,492,63
차대사람,기타,기타,과속,54,23,36,5,1
차대사람,기타,기타,중앙선 침범,178,10,98,92,6
차대사람,기타,기타,신호위반,553,11,225,355,27
차대사람,기타,기타,안전거리 미확보,31,0,9,20,4
차대사람,기타,기타,안전운전 의무 불이행,14968,296,4987,9032,1352
차대사람,기타,기타,교차로 통행방법 위반,107,1,39,62,12
차대사람,기타,기타,보행자 보호의무 위반,1109,10,432,683,48
차대사람,기타,기타,기타,1244,10,432,761,104
차대차,정면충돌,정면충돌,과속,18,1,23,21,0
차대차,정면충돌,정면충돌,중앙선 침범,2394,145,1768,2789,189
차대차,정면충돌,정면충돌,신호위반,1745,38,925,1994,189
차대차,정면충돌,정면충돌,안전거리 미확보,100,0,26,139,9
차대차,정면충돌,정면충돌,안전운전 의무 불이행,2176,24,892,2339,211
차대차,정면충돌,정면충돌,교차로 통행방법 위반,506,4,185,622,55
차대차,정면충돌,정면충돌,기타,392,3,133,483,49
차대차,측면충돌,측면충돌,과속,370,39,289,490,37
차대차,측면충돌,측면충돌,중앙선 침범,4063,51,1713,4620,358
차대차,측면충돌,측면충돌,신호위반,15936,161,6378,19555,1542
차대차,측면충돌,측면충돌,안전거리 미확보,10005,23,1819,12844,1287
차대차,측면충돌,측면충돌,안전운전 의무 불이행,33047,195,8178,37141,3354
차대차,측면충돌,측면충돌,교차로 통행방법 위반,10063,36,2626,12637,1069
차대차,측면충돌,측면충돌,보행자 보호의무 위반,12,0,8,7,3
차대차,측면충돌,측면충돌,기타,10012,48,2820,12464,1141
차대차,후진중충돌,후진중충돌,중앙선 침범,41,0,13,47,1
차대차,후진중충돌,후진중충돌,신호위반,6,0,0,8,0
차대차,후진중충돌,후진중충돌,안전거리 미확보,24,0,2,29,1
차대차,후진중충돌,후진중충돌,안전운전 의무 불이행,2767,1,300,3243,168
차대차,후진중충돌,후진중충돌,교차로 통행방법 위반,12,0,0,14,0
차대차,후진중충돌,후진중충돌,기타,225,0,24,261,16
차대차,추돌,추돌,과속,223,24,190,355,37
차대차,추돌,추돌,중앙선 침범,195,1,82,249,22
차대차,추돌,추돌,신호위반,704,3,266,909,64
차대차,추돌,추돌,안전거리 미확보,6892,28,1629,10863,922
차대차,추돌,추돌,안전운전 의무 불이행,25818,318,7030,39113,2828
차대차,추돌,추돌,교차로 통행방법 위반,493,0,138,606,42
차대차,추돌,추돌,보행자 보호의무 위반,5,0,2,6,0
차대차,추돌,추돌,기타,651,5,188,806,101
차대차,기타,기타,과속,161,14,97,196,27
차대차,기타,기타,중앙선 침범,2136,24,818,2332,175
차대차,기타,기타,신호위반,5838,45,2114,6714,566
차대차,기타,기타,안전거리 미확보,5334,8,1042,6446,716
차대차,기타,기타,안전운전 의무 불이행,22152,137,5185,23935,2794
차대차,기타,기타,교차로 통행방법 위반,4033,6,1003,4547,489
차대차,기타,기타,보행자 보호의무 위반,16,1,9,12,0
차대차,기타,기타,기타,4763,12,1253,5245,545
차량단독,전도,전도,과속,2,1,5,3,0
차량단독,전도,전도,중앙선 침범,2,0,1,1,0
차량단독,전도,전도,신호위반,2,0,1,0,1
차량단독,전도,전도,안전거리 미확보,4,0,2,1,1
차량단독,전도,전도,안전운전 의무 불이행,1107,97,441,478,255
차량단독,전도,전도,교차로 통행방법 위반,3,0,1,1,1
차량단독,전도,전도,기타,21,0,11,6,4
차량단독,전복,전복,과속,1,0,0,1,1
차량단독,전복,전복,안전거리 미확보,1,1,0,0,0
차량단독,전복,전복,안전운전 의무 불이행,186,35,96,99,36
차량단독,전복,전복,교차로 통행방법 위반,1,0,1,1,0
차량단독,전복,전복,기타,1,0,0,1,0
차량단독,공작물충돌,공작물충돌,과속,47,18,62,39,1
차량단독,공작물충돌,공작물충돌,중앙선 침범,13,2,5,5,5
차량단독,공작물충돌,공작물충돌,신호위반,11,3,6,3,3
차량단독,공작물충돌,공작물충돌,안전거리 미확보,15,1,4,8,3
차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,3450,292,1601,2130,753
차량단독,공작물충돌,공작물충돌,교차로 통행방법 위반,10,0,3,7,4
차량단독,공작물충돌,공작물충돌,기타,40,2,20,26,7
차량단독,주/정차차량 충돌,주/정차차량 충돌,중앙선 침범,1,0,1,0,0
차량단독,주/정차차량 충돌,주/정차차량 충돌,안전운전 의무 불이행,44,5,12,29,4
차량단독,도로이탈,도로이탈 추락,과속,3,1,2,4,1
차량단독,도로이탈,도로이탈 추락,중앙선 침범,2,0,1,1,0
차량단독,도로이탈,도로이탈 추락,안전거리 미확보,2,2,0,0,0
차량단독,도로이탈,도로이탈 추락,안전운전 의무 불이행,431,95,230,182,58
차량단독,도로이탈,도로이탈 추락,기타,5,0,3,2,0
차량단독,도로이탈,도로이탈 기타,과속,1,0,0,3,0
차량단독,도로이탈,도로이탈 기타,중앙선 침범,1,0,1,0,0
차량단독,도로이탈,도로이탈 기타,안전거리 미확보,2,0,1,0,1
차량단독,도로이탈,도로이탈 기타,안전운전 의무 불이행,188,18,105,114,16
차량단독,도로이탈,도로이탈 기타,교차로 통행방법 위반,1,0,0,1,0
차량단독,도로이탈,도로이탈 기타,기타,7,0,0,7,0
차량단독,기타,기타,과속,13,1,11,24,0
차량단독,기타,기타,중앙선 침범,4,0,1,2,1
차량단독,기타,기타,신호위반,21,0,12,12,5
차량단독,기타,기타,안전거리 미확보,48,0,18,46,7
차량단독,기타,기타,안전운전 의무 불이행,3566,102,1303,2196,552
차량단독,기타,기타,교차로 통행방법 위반,15,0,2,7,6
차량단독,기타,기타,기타,842,5,307,517,84
철길건널목,철길건널목,철길건널목,신호위반,1,0,2,0,0
철길건널목,철길건널목,철길건널목,안전운전 의무 불이행,1,0,0,1,0
철길건널목,철길건널목,철길건널목,기타,6,2,6,4,0
